25-03-03 23:17:05.199 - INFO: 
| objects   |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
| Perforated_037 |          94   |          83.2 |          88   |       96.8 |
| Mesh_114       |          93.9 |          76.4 |          86   |       94.1 |
| Fibrous_183    |          99.5 |          98.3 |          98.4 |       99.6 |
| Matted_069     |          99.5 |          84.1 |          85.7 |       96.1 |
| mean           |          97.7 |          91.9 |          93.9 |       97.2 |
25-07-29 21:29:59.445 - INFO: 
| objects   |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:----------|--------------:|--------------:|--------------:|-----------:|
| 01        |          93.3 |          69.7 |          88.3 |       95.3 |
| 02        |          95.2 |          64.9 |          76.5 |       96.1 |
| 03        |          96   |          90.3 |          93.7 |       70.2 |
| mean      |          94.8 |          74.9 |          86.2 |       87.2 |
25-07-29 23:54:49.607 - INFO: 
| objects   |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:----------|--------------:|--------------:|--------------:|-----------:|
| Class1    |          89   |          80.1 |          92   |       58.6 |
| Class2    |          99.5 |          99   |          99.7 |       99.1 |
| Class3    |          96.1 |          93.9 |          99.9 |       99.5 |
| Class4    |          89.5 |          76.5 |          98.2 |       92.7 |
| Class5    |          99   |          96.2 |         100   |      100   |
| Class6    |          98.9 |          94.1 |         100   |      100   |
| Class7    |          91.7 |          88   |          99.5 |       97.8 |
| Class8    |          98.6 |          96.1 |          92.2 |       84.5 |
| Class9    |          97.6 |          91.7 |          94.8 |       82.2 |
| Class10   |          98.8 |          97.7 |          99.6 |       99.1 |
| mean      |          95.9 |          91.3 |          97.6 |       91.3 |
